일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","903000","13000","1.46","959000","959000","896000","173007","159197616000","59746995000000","66165000"
"2021/12/29","890000","-1000","-0.11","899000","905000","884000","71560","63897550000","58886850000000","66165000"
"2021/12/28","891000","5000","0.56","891000","893000","883000","90833","80602365000","58953015000000","66165000"
"2021/12/27","886000","1000","0.11","885000","897000","885000","57185","50992270000","58622190000000","66165000"
"2021/12/24","885000","-11000","-1.23","896000","903000","885000","49424","44008316000","58556025000000","66165000"
"2021/12/23","896000","-5000","-0.55","901000","905000","882000","68267","60839934000","59283840000000","66165000"
"2021/12/22","901000","-28000","-3.01","915000","925000","898000","80433","72821525000","59614665000000","66165000"
"2021/12/21","929000","-6000","-0.64","936000","945000","924000","48341","45073185000","61467285000000","66165000"
"2021/12/20","935000","-20000","-2.09","961000","962000","930000","64857","60967014000","61864275000000","66165000"
"2021/12/17","955000","-3000","-0.31","953000","967000","943000","140167","134004711250","63187575000000","66165000"
"2021/12/16","958000","54000","5.97","917000","959000","917000","285399","269473350000","63386070000000","66165000"
"2021/12/15","904000","14000","1.57","899000","912000","895000","79450","71669280000","59813160000000","66165000"
"2021/12/14","890000","18000","2.06","886000","895000","872000","74909","66448411000","58886850000000","66165000"
"2021/12/13","872000","-29000","-3.22","907000","910000","871000","78202","69141004000","57695880000000","66165000"
"2021/12/10","901000","-15000","-1.64","907000","916000","901000","39525","35787046000","59614665000000","66165000"
"2021/12/09","916000","2000","0.22","914000","919000","900000","96606","88142052000","60607140000000","66165000"
"2021/12/08","914000","37000","4.22","883000","920000","882000","139324","126704876000","60474810000000","66165000"
"2021/12/07","877000","-24000","-2.66","886000","892000","849000","93704","81899924000","58026705000000","66165000"
"2021/12/06","901000","1000","0.11","901000","909000","885000","46974","42186891000","59614665000000","66165000"
"2021/12/03","900000","8000","0.90","876000","904000","872000","58605","52399013000","59548500000000","66165000"
"2021/12/02","892000","1000","0.11","886000","896000","865000","59739","52762124000","59019180000000","66165000"
"2021/12/01","891000","2000","0.22","890000","915000","886000","95400","86046055000","58953015000000","66165000"
"2021/11/30","889000","5000","0.57","887000","905000","884000","119393","106486054000","58820685000000","66165000"
"2021/11/29","884000","14000","1.61","888000","920000","876000","113628","101399525000","58489860000000","66165000"
"2021/11/26","870000","23000","2.72","844000","884000","842000","71357","61704446000","57563550000000","66165000"
"2021/11/25","847000","-2000","-0.24","845000","855000","845000","24821","21087425000","56041755000000","66165000"
"2021/11/24","849000","-6000","-0.70","851000","865000","847000","41799","35616265000","56174085000000","66165000"
"2021/11/23","855000","-21000","-2.40","869000","877000","852000","59915","51407218000","56571075000000","66165000"
"2021/11/22","876000","-16000","-1.79","884000","896000","873000","69421","61241305000","57960540000000","66165000"
"2021/11/19","892000","51000","6.06","854000","892000","850000","111679","98227175000","59019180000000","66165000"
"2021/11/18","841000","-9000","-1.06","845000","851000","834000","39378","33189456000","55644765000000","66165000"
"2021/11/17","850000","-22000","-2.52","868000","871000","845000","49961","42606693000","56240250000000","66165000"
"2021/11/16","872000","8000","0.93","866000","875000","851000","45731","39758842000","57695880000000","66165000"
"2021/11/15","864000","31000","3.72","845000","873000","840000","76609","66199851000","57166560000000","66165000"
"2021/11/12","833000","14000","1.71","820000","844000","820000","46428","38657949000","55115445000000","66165000"
"2021/11/11","819000","-1000","-0.12","813000","820000","811000","39365","32146545000","54189135000000","66165000"
"2021/11/10","820000","-6000","-0.73","821000","836000","814000","57089","47044305000","54255300000000","66165000"
"2021/11/09","826000","3000","0.36","821000","836000","820000","39166","32340005000","54652290000000","66165000"
"2021/11/08","823000","-41000","-4.75","850000","854000","808000","96993","79607280000","54453795000000","66165000"
"2021/11/05","864000","-1000","-0.12","865000","873000","850000","48988","42000238000","57166560000000","66165000"
"2021/11/04","865000","-9000","-1.03","882000","889000","864000","45906","40168714000","57232725000000","66165000"
"2021/11/03","874000","0","0.00","876000","880000","862000","37933","33015980000","57828210000000","66165000"
"2021/11/02","874000","0","0.00","868000","883000","868000","36404","31947649000","57828210000000","66165000"
"2021/11/01","874000","3000","0.34","877000","883000","870000","39448","34606585000","57828210000000","66165000"
"2021/10/29","871000","-15000","-1.69","896000","899000","866000","55423","48594645930","57629715000000","66165000"
"2021/10/28","886000","-12000","-1.34","908000","908000","886000","76267","68309812730","58622190000000","66165000"
"2021/10/27","898000","19000","2.16","895000","908000","893000","87845","79031766000","59416170000000","66165000"
"2021/10/26","879000","2000","0.23","878000","889000","870000","51109","44986606000","58159035000000","66165000"
"2021/10/25","877000","-3000","-0.34","877000","879000","861000","39704","34565135000","58026705000000","66165000"
"2021/10/22","880000","12000","1.38","868000","883000","867000","43131","37805176000","58225200000000","66165000"
"2021/10/21","868000","-7000","-0.80","875000","877000","861000","38914","33805795000","57431220000000","66165000"
"2021/10/20","875000","7000","0.81","870000","887000","868000","43048","37741678000","57894375000000","66165000"
"2021/10/19","868000","10000","1.17","870000","871000","859000","30213","26184793000","57431220000000","66165000"
"2021/10/18","858000","-11000","-1.27","876000","877000","858000","45258","39101853000","56769570000000","66165000"
"2021/10/15","869000","10000","1.16","864000","871000","855000","63084","54592251000","57497385000000","66165000"
"2021/10/14","859000","30000","3.62","841000","859000","835000","60936","51824861000","56835735000000","66165000"
"2021/10/13","829000","-5000","-0.60","834000","841000","829000","44924","37476387000","54850785000000","66165000"
"2021/10/12","834000","4000","0.48","840000","844000","821000","83369","69266390000","55181610000000","66165000"
"2021/10/08","830000","15000","1.84","828000","830000","812000","60505","49831339000","54916950000000","66165000"
"2021/10/07","815000","24000","3.03","798000","824000","798000","79810","64974857000","53924475000000","66165000"
"2021/10/06","791000","-21000","-2.59","818000","823000","783000","139569","111544503000","52336515000000","66165000"
"2021/10/05","812000","-63000","-7.20","849000","859000","807000","170809","140945429000","53725980000000","66165000"
"2021/10/01","875000","1000","0.11","872000","883000","870000","53368","46754906000","57894375000000","66165000"
"2021/09/30","874000","0","0.00","867000","882000","866000","59201","51707961000","57828210000000","66165000"
"2021/09/29","874000","3000","0.34","854000","878000","849000","102177","87794457000","57828210000000","66165000"
"2021/09/28","871000","-49000","-5.33","913000","913000","869000","179106","157980331000","57629715000000","66165000"
"2021/09/27","920000","-2000","-0.22","925000","935000","917000","51127","47268493000","60871800000000","66165000"
"2021/09/24","922000","2000","0.22","921000","926000","915000","46886","43165461000","61004130000000","66165000"
"2021/09/23","920000","-13000","-1.39","919000","939000","919000","50033","46230554000","60871800000000","66165000"
"2021/09/17","933000","17000","1.86","917000","933000","914000","71228","65933727000","61731945000000","66165000"
"2021/09/16","916000","-20000","-2.14","936000","942000","916000","55857","51462660000","60607140000000","66165000"
"2021/09/15","936000","23000","2.52","919000","940000","915000","76766","71598037000","61930440000000","66165000"
"2021/09/14","913000","0","0.00","916000","919000","910000","55234","50492598000","60408645000000","66165000"
"2021/09/13","913000","-12000","-1.30","920000","929000","908000","45749","41901716000","60408645000000","66165000"
"2021/09/10","925000","12000","1.31","919000","935000","919000","59758","55325942000","61202625000000","66165000"
"2021/09/09","913000","-18000","-1.93","925000","930000","909000","103517","94813641000","60408645000000","66165000"
"2021/09/08","931000","-19000","-2.00","945000","950000","930000","68979","64631381000","61599615000000","66165000"
"2021/09/07","950000","-4000","-0.42","950000","953000","946000","38510","36526104000","62856750000000","66165000"
"2021/09/06","954000","3000","0.32","952000","959000","947000","38495","36692396000","63121410000000","66165000"
"2021/09/03","951000","3000","0.32","949000","961000","948000","53506","50979397000","62922915000000","66165000"
"2021/09/02","948000","-14000","-1.46","962000","962000","948000","57000","54252858000","62724420000000","66165000"
"2021/09/01","962000","-3000","-0.31","966000","969000","956000","67635","65136735000","63650730000000","66165000"
"2021/08/31","965000","18000","1.90","941000","965000","939000","128840","123192271000","63849225000000","66165000"
"2021/08/30","947000","0","0.00","952000","954000","931000","85372","80407889000","62658255000000","66165000"
"2021/08/27","947000","-7000","-0.73","947000","954000","943000","75275","71382217000","62658255000000","66165000"
"2021/08/26","954000","-9000","-0.93","964000","965000","946000","100079","95447069000","63121410000000","66165000"
"2021/08/25","963000","7000","0.73","963000","971000","935000","198943","189879288000","63716895000000","66165000"
"2021/08/24","956000","-53000","-5.25","1013000","1014000","945000","319689","307857574000","63253740000000","66165000"
"2021/08/23","1009000","23000","2.33","995000","1014000","991000","132244","132979319000","66760485000000","66165000"
"2021/08/20","986000","11000","1.13","981000","1004000","976000","145247","143979818000","65238690000000","66165000"
"2021/08/19","975000","-18000","-1.81","984000","1004000","972000","145935","143846208000","64510875000000","66165000"
"2021/08/18","993000","-19000","-1.88","1017000","1047000","984000","237435","238184437000","65701845000000","66165000"
"2021/08/17","1012000","29000","2.95","994000","1020000","990000","322585","324252177000","66958980000000","66165000"
"2021/08/13","983000","11000","1.13","978000","990000","966000","147387","144638090000","65040195000000","66165000"
"2021/08/12","972000","-3000","-0.31","966000","987000","955000","152001","147961692000","64312380000000","66165000"
"2021/08/11","975000","28000","2.96","957000","980000","943000","277414","268150695000","64510875000000","66165000"
"2021/08/10","947000","38000","4.18","920000","984000","915000","523623","501392412000","62658255000000","66165000"
"2021/08/09","909000","-10000","-1.09","916000","919000","906000","63998","58303114000","60143985000000","66165000"
"2021/08/06","919000","7000","0.77","927000","929000","916000","90944","83747966000","60805635000000","66165000"
"2021/08/05","912000","9000","1.00","908000","938000","907000","186525","172171982000","60342480000000","66165000"
"2021/08/04","903000","-6000","-0.66","910000","913000","892000","81836","73961094000","59746995000000","66165000"
"2021/08/03","909000","-4000","-0.44","913000","917000","903000","61569","55932367500","60143985000000","66165000"
"2021/08/02","913000","23000","2.58","898000","915000","895000","76937","69778617000","60408645000000","66165000"
"2021/07/30","890000","-21000","-2.31","913000","913000","889000","94672","84815745000","58886850000000","66165000"
"2021/07/29","911000","5000","0.55","912000","920000","903000","82368","75061633000","60276315000000","66165000"
"2021/07/28","906000","-2000","-0.22","897000","917000","897000","157281","142909111000","59945490000000","66165000"
"2021/07/27","908000","14000","1.57","902000","915000","897000","119227","108374617000","60077820000000","66165000"
"2021/07/26","894000","1000","0.11","898000","920000","890000","119465","108211310000","59151510000000","66165000"
"2021/07/23","893000","9000","1.02","880000","900000","875000","73603","65573770000","59085345000000","66165000"
"2021/07/22","884000","-17000","-1.89","898000","909000","883000","107502","95642170000","58489860000000","66165000"
"2021/07/21","901000","-12000","-1.31","915000","915000","886000","124618","112114899000","59614665000000","66165000"
"2021/07/20","913000","-3000","-0.33","914000","932000","900000","126069","115230864000","60408645000000","66165000"
"2021/07/19","916000","17000","1.89","901000","924000","891000","183976","167927488000","60607140000000","66165000"
"2021/07/16","899000","25000","2.86","877000","904000","874000","233974","209380252000","59482335000000","66165000"
"2021/07/15","874000","10000","1.16","866000","878000","865000","83299","72773356000","57828210000000","66165000"
"2021/07/14","864000","-1000","-0.12","866000","868000","859000","44645","38472411000","57166560000000","66165000"
"2021/07/13","865000","-5000","-0.57","870000","871000","858000","50327","43605097000","57232725000000","66165000"
"2021/07/12","870000","13000","1.52","864000","870000","857000","58273","50456867000","57563550000000","66165000"
"2021/07/09","857000","-6000","-0.70","863000","877000","848000","110673","95191394000","56703405000000","66165000"
"2021/07/08","863000","18000","2.13","851000","869000","850000","149679","129217913000","57100395000000","66165000"
"2021/07/07","845000","-5000","-0.59","850000","859000","845000","63222","53712892000","55909425000000","66165000"
"2021/07/06","850000","-17000","-1.96","864000","865000","850000","70185","60032598000","56240250000000","66165000"
"2021/07/05","867000","12000","1.40","857000","876000","850000","146462","126726696000","57365055000000","66165000"
"2021/07/02","855000","0","0.00","854000","860000","849000","43494","37175543000","56571075000000","66165000"
"2021/07/01","855000","14000","1.66","845000","860000","838000","106751","91100741000","56571075000000","66165000"
"2021/06/30","841000","-5000","-0.59","846000","850000","841000","51281","43260533000","55644765000000","66165000"
"2021/06/29","846000","3000","0.36","842000","855000","839000","50518","42748491000","55975590000000","66165000"
"2021/06/28","843000","-6000","-0.71","850000","854000","843000","48640","41123910000","55777095000000","66165000"
"2021/06/25","849000","-6000","-0.70","855000","861000","844000","60580","51776490000","56174085000000","66165000"
"2021/06/24","855000","-2000","-0.23","858000","864000","849000","70683","60592882000","56571075000000","66165000"
"2021/06/23","857000","11000","1.30","849000","865000","847000","124793","106993682000","56703405000000","66165000"
"2021/06/22","846000","-8000","-0.94","850000","851000","840000","66216","55968617000","55975590000000","66165000"
"2021/06/21","854000","18000","2.15","828000","856000","827000","79659","66850877000","56504910000000","66165000"
"2021/06/18","836000","3000","0.36","831000","840000","830000","59330","49574443000","55313940000000","66165000"
"2021/06/17","833000","0","0.00","828000","840000","827000","54444","45242554000","55115445000000","66165000"
"2021/06/16","833000","-9000","-1.07","839000","839000","832000","70626","58903868000","55115445000000","66165000"
"2021/06/15","842000","-11000","-1.29","850000","850000","841000","51168","43144062000","55710930000000","66165000"
"2021/06/14","853000","8000","0.95","846000","855000","845000","60306","51201604000","56438745000000","66165000"
"2021/06/11","845000","-10000","-1.17","860000","860000","845000","76050","64708559000","55909425000000","66165000"
"2021/06/10","855000","21000","2.52","835000","862000","831000","134990","115056790000","56571075000000","66165000"
"2021/06/09","834000","-21000","-2.46","857000","861000","834000","117646","99163810000","55181610000000","66165000"
"2021/06/08","855000","13000","1.54","880000","881000","852000","267532","232529333000","56571075000000","66165000"
"2021/06/07","842000","2000","0.24","852000","856000","840000","92575","78328542000","55710930000000","66165000"
"2021/06/04","840000","16000","1.94","819000","842000","818000","104312","86736033000","55578600000000","66165000"
"2021/06/03","824000","6000","0.73","822000","828000","811000","88042","72267911000","54519960000000","66165000"
"2021/06/02","818000","-14000","-1.68","833000","836000","816000","127408","104843753000","54122970000000","66165000"
"2021/06/01","832000","-13000","-1.54","865000","873000","829000","207823","176699248000","55049280000000","66165000"
"2021/05/31","845000","18000","2.18","828000","846000","827000","119113","99788694000","55909425000000","66165000"
"2021/05/28","827000","10000","1.22","817000","834000","817000","118554","98138345000","54718455000000","66165000"
