일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/09/26","59700","-1300","-2.13","60100","61000","59200","1983320","118840240000","26585077565400","445311182"
"2022/09/23","61000","-300","-0.49","61300","61800","60900","1660303","101643228950","27163982102000","445311182"
"2022/09/22","61300","-2700","-4.22","62700","62800","61100","1743099","107319896500","27297575456600","445311182"
"2022/09/21","64000","-1300","-1.99","64900","65300","63600","1056852","67740334800","28499915648000","445311182"
"2022/09/20","65300","-100","-0.15","66400","66600","65300","854697","56164096200","29078820184600","445311182"
"2022/09/19","65400","-1500","-2.24","67100","67300","65400","1132357","74433414000","29123351302800","445311182"
"2022/09/16","66900","-500","-0.74","66700","67700","66300","922538","61738389400","29791318075800","445311182"
"2022/09/15","67400","-700","-1.03","68600","69000","67400","984996","66972700500","30013973666800","445311182"
"2022/09/14","68100","-1900","-2.71","67000","68500","66500","1827706","123246134200","30325691494200","445311182"
"2022/09/13","70000","2000","2.94","69100","70800","69100","2103796","146976166000","31171782740000","445311182"
"2022/09/08","68000","500","0.74","68500","69200","67600","1169203","79779506800","30281160376000","445311182"
"2022/09/07","67500","-2200","-3.16","69100","69200","67000","1793068","121197130600","30047599755000","445149626"
"2022/09/06","69700","-300","-0.43","70000","70600","69500","744418","52016491700","31026928932200","445149626"
"2022/09/05","70000","-200","-0.28","69800","70800","69400","865940","60646253100","31160473820000","445149626"
"2022/09/02","70200","-1200","-1.68","72100","72200","70000","1201760","85224067000","31249503745200","445149626"
"2022/09/01","71400","-2000","-2.72","72300","72500","71200","1275977","91363068200","31783683296400","445149626"
"2022/08/31","73400","200","0.27","72300","73700","71800","1348480","98266319800","32673982548400","445149626"
"2022/08/30","73200","1000","1.39","72500","73500","72500","802825","58646987200","32584952623200","445149626"
"2022/08/29","72200","-3800","-5.00","72800","73400","71800","1632297","118304620100","32139802997200","445149626"
"2022/08/26","76000","-100","-0.13","76700","77200","75500","993727","75843659200","33831371576000","445149626"
"2022/08/25","76100","1200","1.60","75400","76800","75000","1252757","95090727300","33875886538600","445149626"
"2022/08/24","74900","100","0.13","74900","75500","74200","936191","69978953900","33341706987400","445149626"
"2022/08/23","74800","-200","-0.27","74800","75800","74200","1327312","99405972600","33297192024800","445149626"
"2022/08/22","75000","-1700","-2.22","75600","76300","74600","1250643","94076067600","33386221950000","445149626"
"2022/08/19","76700","-2500","-3.16","78300","78800","76400","1804047","139062830400","34142976314200","445149626"
"2022/08/18","79200","-900","-1.12","79400","79600","77500","1640906","128923169600","35255850379200","445149626"
"2022/08/17","80100","-600","-0.74","80800","81200","79600","1041971","83627402700","35656485042600","445149626"
"2022/08/16","80700","-1800","-2.18","83000","83200","80500","1798225","145663409500","35923574818200","445149626"
"2022/08/12","82500","-1200","-1.43","83000","83200","81700","1069578","88089569500","36724844145000","445149626"
"2022/08/11","83700","3400","4.23","82600","84300","82400","1918391","160004348000","37242171956700","444948291"
"2022/08/10","80300","-2900","-3.49","82300","82800","80300","1428961","115865023700","35729347767300","444948291"
"2022/08/09","83200","1200","1.46","81800","83800","81500","1541966","127465962800","37019697811200","444948291"
"2022/08/08","82000","800","0.99","80600","82000","80100","1674063","136263360600","36485759862000","444948291"
"2022/08/05","81200","-500","-0.61","82000","83100","80700","2511627","205320620460","36129801229200","444948291"
"2022/08/04","81700","5700","7.50","77000","81700","76800","5803458","464775052100","36352275374700","444948291"
"2022/08/03","76000","4200","5.85","71900","76100","71500","2893725","215310917800","33816070116000","444948291"
"2022/08/02","71800","-2200","-2.97","73800","73800","71600","1786920","129138992516","31947287293800","444948291"
"2022/08/01","74000","-800","-1.07","74800","75200","74000","907903","67626175400","32926173534000","444948291"
"2022/07/29","74800","2400","3.31","73200","75400","73200","2164565","161391881900","33282132166800","444948291"
"2022/07/28","72400","500","0.70","73000","74200","72100","1226484","89561537700","32214256268400","444948291"
"2022/07/27","71900","-500","-0.69","72500","72600","71200","924477","66253144700","31991782122900","444948291"
"2022/07/26","72400","-600","-0.82","72600","72900","71800","696076","50218764400","32214256268400","444948291"
"2022/07/25","73000","900","1.25","71600","73100","71400","1038303","75138145800","32481225243000","444948291"
"2022/07/22","72100","-1600","-2.17","73500","73600","71600","1601677","115820353800","32080771781100","444948291"
"2022/07/21","73700","300","0.41","73900","75000","73500","1244024","92179877000","32792689046700","444948291"
"2022/07/20","73400","600","0.82","74700","75600","73100","1758524","130911689800","32659204559400","444948291"
"2022/07/19","72800","0","0.00","72000","73200","71600","949001","68553410700","32392235584800","444948291"
"2022/07/18","72800","2700","3.85","71100","73200","70600","1690739","122165961100","32392235584800","444948291"
"2022/07/15","70100","-2000","-2.77","72100","72200","69400","1605289","112791505900","31190875199100","444948291"
"2022/07/14","72100","200","0.28","71000","73400","70400","1597400","114769725400","32080771781100","444948291"
"2022/07/13","71900","1600","2.28","70100","72200","70100","1156844","82679427100","31991782122900","444948291"
"2022/07/12","70300","-1000","-1.40","70700","71000","69400","1082539","75752698100","31279864857300","444948291"
"2022/07/11","71300","-500","-0.70","71900","72800","71100","979002","70398774400","31724813148300","444948291"
"2022/07/08","71800","-1200","-1.64","73900","73900","71800","1418763","103036162300","31947287293800","444948291"
"2022/07/07","73000","-500","-0.68","74500","74900","72700","1603464","117638093500","32472042281000","444822497"
"2022/07/06","73500","1500","2.08","71300","75000","71200","2724220","201130291500","32694453529500","444822497"
"2022/07/05","72000","3900","5.73","68700","72500","68300","2125688","151212430500","32027219784000","444822497"
"2022/07/04","68100","800","1.19","67300","69000","66200","1019171","69140963200","30292412045700","444822497"
"2022/07/01","67300","-2600","-3.72","70000","70300","66600","1817276","123969443700","29936554048100","444822497"
"2022/06/30","69900","-900","-1.27","70400","71100","69900","1339031","94023639000","31093092540300","444822497"
"2022/06/29","70800","-800","-1.12","70100","71300","69700","1185471","83707573800","31493432787600","444822497"
"2022/06/28","71600","-200","-0.28","71600","72300","70600","1082711","77065793000","31849290785200","444822497"
"2022/06/27","71800","300","0.42","72400","72900","70600","1470633","105894681900","31938255284600","444822497"
"2022/06/24","71500","4400","6.56","67400","71500","67400","2331632","163898347900","31804808535500","444822497"
